Contract_ID,Collection_Period,Domain_Type,Deployment_Gas,Owner_Gas,User_Gas,Admin_Gas,Mean_Gas,Vulnerability_Count,Vulnerability_Score,Fairness_Variance,Loop_Gas_Share,Storage_Gas_Share,Runtime_ms,Anomaly_Flag
C_2025_00001,Nov-2025,Marketplace,115960.57,48893.89,105199.7,55712.79,69935.46,0,0.0,0.359,0.358,0.556,87.64,0
C_2025_00002,Nov-2025,DeFi,153688.19,56139.48,68869.66,72305.62,65771.59,1,0.2,0.106,0.359,0.568,56.73,0
C_2025_00003,Nov-2025,Token,44099.61,57602.96,268382.991935819,65940.48,71491.78,3,0.0,0.3357620909520558,0.365,0.587,65.08,1
C_2025_00004,Nov-2025,DeFi,120557.88,54781.76,102359.99,62284.99,73142.25,0,0.0,0.286,0.38,0.567,43.58,0
C_2025_00005,Nov-2025,NFT,162994.92,57579.52,76406.51,67580.69,67188.91,1,0.2,0.114,0.375,0.553,90.01,0
C_2025_00006,Nov-2025,Wallet,119870.54,40233.25,64583.4,44579.54,49798.73,1,0.2,0.213,0.398,0.628,91.67,0
C_2025_00007,Nov-2025,Token,66749.11,57054.09,136840.61,53368.22,82420.97,0,0.0,0.467,0.352,0.583,61.38,0
C_2025_00008,Nov-2025,Energy,119284.41,45694.87,76026.17,46260.29,55993.78,1,0.2,0.253,0.39,0.557,94.28,0
C_2025_00009,Nov-2025,Token,59584.62,54893.41,66266.16,67309.45,62823.01,3,0.6,0.09,0.368,0.562,87.47,0
C_2025_00010,Nov-2025,DeFi,107377.7,58797.18,75414.78,60231.41,64814.45,2,0.4,0.116,0.394,0.597,46.58,0
C_2025_00011,Nov-2025,Marketplace,121675.56,56364.76,108764.85,68110.44,77746.68,2,0.4,0.289,0.351,0.561,41.73,0
C_2025_00012,Nov-2025,DeFi,108718.74,58339.93,108578.89,73684.89,80201.24,1,0.2,0.262,0.388,0.573,44.23,0
C_2025_00013,Nov-2025,Energy,100298.08,45985.94,110762.06,56252.22,71000.08,3,0.6,0.4,0.395,0.604,84.41,0
C_2025_00014,Nov-2025,Token,62525.69,55385.0,74385.8,54896.18,61555.66,3,0.6,0.147,0.376,0.592,52.22,0
C_2025_00015,Nov-2025,Wallet,105887.43,43581.78,105719.93,44857.91,64719.87,2,0.4,0.448,0.399,0.646,53.85,0
C_2025_00016,Nov-2025,NFT,136624.58,49787.89,78181.56,45543.71,57837.72,2,0.4,0.251,0.364,0.641,53.18,0
C_2025_00017,Nov-2025,Marketplace,109583.46,40650.58,100868.13,40521.39,60680.03,2,0.4,0.468,0.386,0.587,74.78,0
C_2025_00018,Nov-2025,Healthcare,117042.29,67523.65,88954.08,83332.35,79936.69,1,0.2,0.113,0.352,0.609,77.27,0
C_2025_00019,Nov-2025,DeFi,130137.17,47075.69,70352.0,54516.9,57314.86,0,0.0,0.169,0.385,0.589,91.52,0
C_2025_00020,Nov-2025,Wallet,105340.83,42915.9,57829.85,54497.93,51747.89,2,0.4,0.124,0.391,0.606,69.13,0
C_2025_00021,Nov-2025,DAO,106106.11,48353.07,114421.75,60932.95,74569.26,1,0.2,0.384,0.367,0.623,89.34,0
C_2025_00022,Nov-2025,Token,67003.94,52771.59,107371.24,49270.51,69804.44,0,0.0,0.381,0.395,0.611,40.51,0
C_2025_00023,Nov-2025,DAO,113516.87,44285.19,53433.63,42705.24,46808.02,3,0.6,0.101,0.386,0.574,57.9,0
C_2025_00024,Nov-2025,DeFi,141549.66,60147.12,138578.38,69953.81,89559.77,1,0.2,0.39,0.368,0.577,53.42,0
C_2025_00025,Nov-2025,DAO,109074.78,52729.22,124423.05,60768.07,79306.78,3,0.6,0.404,0.36,0.622,55.44,0
C_2025_00026,Nov-2025,Token,65335.84,48901.83,69941.54,62407.7,60417.02,3,0.6,0.144,0.396,0.593,93.17,0
C_2025_00027,Nov-2025,Marketplace,99838.48,37881.22,87372.19,38895.26,54716.22,0,0.0,0.422,0.378,0.644,78.28,0
C_2025_00028,Nov-2025,Token,57929.14,51229.8,102434.47,66394.93,73353.06,0,0.0,0.293,0.376,0.638,80.74,0
C_2025_00029,Nov-2025,NFT,196661.02,58430.42,97423.28,59449.25,71767.65,5,1.0,0.253,0.39,0.615,78.61,0
